treatment,F_ppm,D_ppm,aquarium,t_exp_G42,t_exp_G46,wetmass_G42_mg,wetmass_G46_mg,drymass_G42_mg,drymass_G46_mg
K. 30D+10F,10,30.0,28,,,,,,
K. 30D+10F,10,30.0,28,,,,,,
K. 30D+10F,10,30.0,28,,,,,,
K. 30D+10F,10,30.0,28,,,,,,
K. 30D+10F,10,30.0,28,,,,,,
K. 30D+10F,10,30.0,28,,,,,,
L. 30D+100F,100,30.0,5,15.0,22.0,166,106,9.296000000000008,16.642000000000003
L. 30D+100F,100,30.0,5,15.0,,141,,7.896000000000007,
L. 30D+100F,100,30.0,5,15.0,,170,,9.520000000000008,
L. 30D+100F,100,30.0,5,25.0,36.0,132,78,7.392000000000007,12.246000000000002
L. 30D+100F,100,30.0,5,25.0,34.0,182,97,10.192000000000009,15.229000000000003
L. 30D+100F,100,30.0,5,,,,,,
L. 30D+100F,100,30.0,5,,,,,,
L. 30D+100F,100,30.0,5,,,,,,
L. 30D+100F,100,30.0,5,,,,,,
L. 30D+100F,100,30.0,5,,,,,,
L. 30D+100F,100,30.0,17,11.0,,199,,11.144000000000009,
L. 30D+100F,100,30.0,17,21.0,34.0,149,82,8.344000000000008,12.874000000000002
L. 30D+100F,100,30.0,17,21.0,,112,,6.272000000000006,
L. 30D+100F,100,30.0,17,,,,,,
L. 30D+100F,100,30.0,17,,,,,,
L. 30D+100F,100,30.0,17,,,,,,
L. 30D+100F,100,30.0,17,,,,,,
L. 30D+100F,100,30.0,17,,,,,,
L. 30D+100F,100,30.0,17,,,,,,
L. 30D+100F,100,30.0,17,,,,,,
L. 30D+100F,100,30.0,29,11.0,,206,,11.53600000000001,
L. 30D+100F,100,30.0,29,,,,,,
L. 30D+100F,100,30.0,29,,,,,,
L. 30D+100F,100,30.0,29,,,,,,
L. 30D+100F,100,30.0,29,,,,,,
L. 30D+100F,100,30.0,29,,,,,,
L. 30D+100F,100,30.0,29,,,,,,
L. 30D+100F,100,30.0,29,,,,,,
L. 30D+100F,100,30.0,29,,,,,,
L. 30D+100F,100,30.0,29,,,,,,
