replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
8,0.0,uninfected,1,36.0,41.0,5.0,265.05937374762976,133.47798845173264,22
9,0.0,uninfected,1,33.0,38.0,5.0,268.4637865165019,152.9528814303497,22
10,0.0,uninfected,1,44.0,49.0,5.0,258.04855310446385,142.96658917930256,22
1,0.0,uninfected,1,37.0,42.0,5.0,264.86852503458454,153.51495430901,23
2,0.0,uninfected,1,38.0,43.0,5.0,263.4163602561233,139.421254906943,23
3,0.0,uninfected,1,39.0,44.0,5.0,262.57782703246227,141.59568497285352,23
4,0.0,uninfected,1,35.0,40.0,5.0,266.2499276922721,135.78604697491429,23
5,0.0,uninfected,1,37.0,42.0,5.0,264.8010485619782,149.13294811566013,23
6,0.0,uninfected,1,41.0,46.0,5.0,261.1188244670421,147.85109883479524,23
7,0.0,uninfected,1,41.0,47.0,6.0,261.5370698332842,118.81266700524039,23
8,0.0,uninfected,1,36.0,42.0,6.0,265.53513357231907,124.59033780543588,23
9,0.0,uninfected,1,40.0,45.0,5.0,262.2746319698831,154.26562515778096,23
10,0.0,uninfected,1,38.0,43.0,5.0,264.030891541034,156.3701440576151,23
1,0.0,uninfected,1,45.0,50.0,5.0,255.8736301284886,132.72094426553505,24
2,0.0,uninfected,1,36.0,42.0,6.0,265.65310751894623,120.52591003741301,24
3,0.0,uninfected,1,38.0,43.0,5.0,263.8602258914484,148.25674108708685,24
4,0.0,uninfected,1,38.0,44.0,6.0,264.0138193009893,121.66774215551429,24
5,0.0,uninfected,1,40.0,45.0,5.0,261.6948908875301,142.55622271099776,24
6,0.0,uninfected,1,38.0,43.0,5.0,263.40209604420704,139.18725955322284,24
7,0.0,uninfected,1,41.0,47.0,6.0,261.3975115992242,114.15501808379041,24
8,0.0,uninfected,1,38.0,44.0,6.0,264.0371833870007,119.0476491294504,24
9,0.0,uninfected,1,39.0,44.0,5.0,261.99405455159206,134.22116639053158,24
10,0.0,uninfected,1,36.0,41.0,5.0,265.6420276669433,145.43980245235866,24
1,0.0,uninfected,1,37.0,42.0,5.0,263.48901039905934,127.6404757778953,25
2,0.0,uninfected,1,39.0,44.0,5.0,262.2617559535203,137.31158474660378,25
3,0.0,uninfected,1,46.0,51.0,5.0,256.0375376951826,140.94186081890393,25
4,0.0,uninfected,1,40.0,45.0,5.0,261.88800829162267,145.51431719243652,25
5,0.0,uninfected,1,40.0,46.0,6.0,262.39016428208186,125.04260456777975,25
6,0.0,uninfected,1,39.0,44.0,5.0,262.9842840220441,149.13017372674796,25
7,0.0,uninfected,1,37.0,42.0,5.0,264.36598231473636,138.65444168607885,25
8,0.0,uninfected,1,42.0,47.0,5.0,259.28323494846484,136.8782075737511,25
9,0.0,uninfected,1,37.0,43.0,6.0,264.82259894441773,121.82045812596124,25
10,0.0,uninfected,1,42.0,47.0,5.0,260.1993633119327,147.37716196217855,25
1,0.0,uninfected,1,42.0,48.0,6.0,260.5049605754999,113.6020217248328,26
2,0.0,uninfected,1,43.0,48.0,5.0,259.30247504110906,147.19595106510891,26
3,0.0,uninfected,1,43.0,48.0,5.0,258.31226577445676,136.7550879050752,26
4,0.0,uninfected,1,49.0,54.0,5.0,252.63234451788938,135.74909651918384,26
5,0.0,uninfected,1,36.0,41.0,5.0,265.10151752188096,134.25160440774093,26
6,0.0,uninfected,1,38.0,43.0,5.0,263.79676423975604,146.57229054935922,26
7,0.0,uninfected,1,42.0,47.0,5.0,259.81815190482405,142.47483855307993,26
8,0.0,uninfected,1,47.0,53.0,6.0,255.63236545584394,108.11112308581316,26
9,0.0,uninfected,1,38.0,43.0,5.0,263.4311479615941,139.59595119028728,26
10,0.0,uninfected,1,38.0,43.0,5.0,262.83533435227315,132.04165322399925,26
1,0.0,uninfected,1,36.0,41.0,5.0,265.5521141377688,142.70263667015638,27
2,0.0,uninfected,1,34.0,39.0,5.0,267.2572809458647,163.57370430796513,27
3,0.0,uninfected,1,34.0,39.0,5.0,267.3339873698541,136.4418734593216,27
4,0.0,uninfected,1,41.0,46.0,5.0,259.50068447571084,130.11185638647189,27
5,0.0,uninfected,1,35.0,40.0,5.0,266.51436675480755,142.14991690592512,27
6,0.0,uninfected,1,39.0,44.0,5.0,261.50614700421534,129.3667402589002,27
7,0.0,uninfected,1,34.0,39.0,5.0,267.2770549700194,162.94286185096055,27
8,0.0,uninfected,1,40.0,45.0,5.0,261.7854514139583,143.8671951402347,27
9,0.0,uninfected,1,37.0,42.0,5.0,263.7184414605166,130.04173467241296,27
10,0.0,uninfected,1,42.0,48.0,6.0,260.65625226028413,117.3866672435668,27
1,0.0,uninfected,1,37.0,42.0,5.0,264.49125992801464,140.9216043990522,28
2,0.0,uninfected,1,39.0,44.0,5.0,262.1316696141661,135.6659548964476,28
3,0.0,uninfected,1,37.0,42.0,5.0,264.73098375731803,146.60799582497722,28
4,0.0,uninfected,1,40.0,45.0,5.0,260.40794576086904,129.0081865092323,28
5,0.0,uninfected,1,46.0,52.0,6.0,257.7390971239245,127.55308413694362,28
